┌─────────────┬────────────────────┬────────────────────┬────────────────────┐
│ fare_amount │      zone_avg      │      boro_avg      │      all_avg       │
│   double    │       double       │       double       │       double       │
├─────────────┼────────────────────┼────────────────────┼────────────────────┤
│         9.5 │  9.304850238943523 │ 11.166183928202422 │ 13.141501256108317 │
│         8.0 │  9.960817762139875 │ 11.166183928202422 │ 13.141501256108317 │
│         5.0 │  9.784515199087622 │ 11.166183928202422 │ 13.141501256108317 │
│         5.0 │ 11.135360796670259 │ 11.166183928202422 │ 13.141501256108317 │
│         8.5 │  11.28280427083318 │ 11.166183928202422 │ 13.141501256108317 │
│         7.5 │ 11.511945141556426 │ 11.166183928202422 │ 13.141501256108317 │
│         8.5 │ 12.268058724826263 │ 11.166183928202422 │ 13.141501256108317 │
│         8.0 │ 10.216788435032313 │ 11.166183928202422 │ 13.141501256108317 │
│         7.0 │ 16.390510470708573 │ 11.166183928202422 │ 13.141501256108317 │
│         5.5 │ 11.962162454010661 │ 11.166183928202422 │ 13.141501256108317 │
│         5.0 │ 11.511945141556426 │ 11.166183928202422 │ 13.141501256108317 │
│        14.0 │ 10.782668708212697 │ 11.166183928202422 │ 13.141501256108317 │
│        10.0 │ 10.614122976385021 │ 11.166183928202422 │ 13.141501256108317 │
│        21.5 │  11.16393718817213 │ 11.166183928202422 │ 13.141501256108317 │
│        11.0 │ 13.562601976146265 │ 11.166183928202422 │ 13.141501256108317 │
│         4.5 │ 10.614122976385021 │ 11.166183928202422 │ 13.141501256108317 │
│         4.0 │ 10.614122976385021 │ 11.166183928202422 │ 13.141501256108317 │
│         9.0 │ 10.614122976385021 │ 11.166183928202422 │ 13.141501256108317 │
│         5.5 │ 11.995265953244827 │ 11.166183928202422 │ 13.141501256108317 │
│        10.5 │ 10.401852449544693 │ 11.166183928202422 │ 13.141501256108317 │
│         6.5 │  10.73713462400698 │ 11.166183928202422 │ 13.141501256108317 │
│        10.0 │ 12.268058724826263 │ 11.166183928202422 │ 13.141501256108317 │
│         5.5 │  11.16393718817213 │ 11.166183928202422 │ 13.141501256108317 │
│         8.0 │ 11.109301909780273 │ 11.166183928202422 │ 13.141501256108317 │
│        11.0 │ 10.401852449544693 │ 11.166183928202422 │ 13.141501256108317 │
├─────────────┴────────────────────┴────────────────────┴────────────────────┤
│ 100 rows                                                         4 columns │
└────────────────────────────────────────────────────────────────────────────┘
